[2020-11-27T03:47:47.999749+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T03:48:40.577645+00:00] log.DEBUG: SELECT `Per_Id` AS `lf`, `Per_Id` AS `df`, `Per_ThaiName` AS `df2`, `Per_ThaiLastName` AS `df3`, '' AS `df4` FROM `01-personnel` [] []
[2020-11-27T04:04:40.457965+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T04:04:40.625682+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T04:04:40.710786+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T04:04:40.788323+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T04:04:40.858261+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T04:04:40.942908+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T04:04:41.037347+00:00] log.DEBUG: SELECT `Per_major_id` AS `lf`, `Per_major_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_major` [] []
[2020-11-27T04:04:41.120983+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T04:04:41.209981+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T04:07:06.249641+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
